iata,icao,name,city,country,lat,lon,runway_length_ft,gate_count,timezone,score,category
MNF,NFMA,Mana Island Airport,Mana Island,FJ,-17.674400,177.106995,2000,1,Pacific/Fiji,8000,small_airport
MNL,RPLL,Ninoy Aquino International Airport,Manila,PH,14.508600,121.019997,12260,85,Asia/Manila,1500000,large_airport
MNU,VYMM,Mawlamyine Airport,Mawlamyine,MM,16.444700,97.661003,5300,2,Asia/Yangon,15000,small_airport
MNZ,KHEF,Manassas Regional Airport/Harry P. Davis Field,Manassas,US,38.721401,-77.515404,5700,25,America/New_York,25000,small_airport
MOB,KMOB,Mobile Regional Airport,Mobile,US,30.6912,-88.242798,8521,25,America/New_York,180000,medium_airport
MOD,KMOD,Modesto City Co-Harry Sham Field,Modesto,US,37.625801,-120.954002,5911,25,America/Anchorage,25000,small_airport
MOF,WATC,Frans Xavier Seda Airport,Maumere,ID,-8.641610,122.237000,7381,2,Asia/Makassar,65000,small_airport
MOT,KMOT,Minot International Airport,Minot,US,48.25801,-101.279123,7700,45,America/Chicago,210000,medium_airport
MOV,YMRB,Moranbah Airport,Moranbah,AU,-22.058300,148.076996,5000,2,Australia/Brisbane,40000,small_airport
MPH,RPVE,Godofredo P. Ramos Airport,Caticlan,PH,11.924800,121.954003,5905,5,Asia/Manila,550000,large_airport
MPV,KMPV,Edward F Knapp State Airport,Barre/Montpelier,US,44.203499,-72.562302,5002,25,America/New_York,5000,small_airport
MQL,YMIA,Mildura Airport,Mildura,AU,-34.229198,142.085999,6000,3,Australia/Melbourne,55000,medium_airport
MQT,KSAW,Marquette/Sawyer International Airport,Gwinn,US,46.351498,-87.395884,12370,45,America/New_York,140000,medium_airport
MQY,KMQY,Smyrna Airport,Smyrna,US,36.008999,-86.520103,8036,25,America/New_York,25000,small_airport
MRB,KMRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg,US,39.401901,-77.984596,9600,25,America/New_York,12000,small_airport
MRI,PAMR,Merrill Field,Anchorage,US,61.212792,-149.843988,4000,25,Pacific/Honolulu,5000,small_airport
MRQ,RPUW,Marinduque Airport,Marinduque,PH,13.361900,121.831001,5039,1,Asia/Manila,55000,small_airport
MRY,KMRY,Monterey Regional Airport,Monterey,US,36.586777,-121.844183,7616,25,America/Anchorage,45000,small_airport
MSJ,RJSM,Misawa Airport,Misawa,JP,40.704600,141.369000,10000,4,Asia/Tokyo,80000,medium_airport
MSL,KMSL,Northwest Alabama Regional Airport,Muscle Shoals,US,34.745123,-87.612981,6693,25,America/New_York,12000,small_airport
MSN,KMSN,Dane County Regional Truax Field,Madison,US,43.1399,-89.337502,9005,25,America/New_York,280000,medium_airport
MSO,KMSO,Missoula Montana Airport,Missoula,US,46.915816,-114.091107,9501,25,America/Los_Angeles,180000,medium_airport
MSP,KMSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,US,44.880081,-93.221741,11006,80,America/Chicago,1140000,large_airport
MSS,KMSS,Massena International Airport Richards Field,Massena,US,44.936157,-74.844304,4998,45,America/New_York,21000,small_airport
MST,EHBK,Maastricht Aachen Airport,Maastricht,NL,50.911701,5.770140,9022,5,Europe/Amsterdam,180000,medium_airport
MSY,KMSY,Louis Armstrong New Orleans International Airport,New Orleans,US,29.993401,-90.264673,10104,80,America/Chicago,890000,medium_airport
MTC,KMTC,Selfridge Air National Guard Base Airport,Mount Clemens,US,42.613463,-82.836919,9000,25,America/New_York,15000,small_airport
MTH,KMTH,Florida Keys Marathon International Airport,Marathon,US,24.726006,-81.05138,5008,45,America/New_York,18000,small_airport
MTJ,KMTJ,Montrose Regional Airport,Montrose,US,38.5098,-107.893997,10000,25,America/Denver,45000,small_airport
MTN,KMTN,Martin State Airport,Baltimore,US,39.325699,-76.413803,6996,25,America/New_York,12000,small_airport
MTT,MMMT,Minatitlán/Coatzacoalcos National Airport,Minatitlán,MX,18.101000,-94.580800,6890,4,America/Mexico_City,80000,small_airport
