origin_iata,dest_iata,anchor_annual,anchor_weekly,years_used,first_year,last_year,method
CAN,MEL,188859.0,3631.9038,8,2015,2025,au_trend_wm_max_recent_v2
MEL,DOH,187940.05,3614.2317,8,2015,2025,au_trend_wm_max_recent_v2
DOH,MEL,187184.94,3599.7104,8,2015,2025,au_trend_wm_max_recent_v2
LAX,BNE,186788.0,3592.0769,8,2015,2025,au_trend_wm_max_recent_v2
BNE,LAX,185736.0,3571.8462,8,2015,2025,au_trend_wm_max_recent_v2
AUH,MEL,185554.32,3568.3523,8,2015,2025,au_trend_wm_max_recent_v2
MEL,CHC,182037.75,3500.7259,8,2015,2025,au_trend_wm_max_recent_v2
CHC,MEL,181287.62,3486.3004,8,2015,2025,au_trend_wm_max_recent_v2
MEL,SGN,178935.0,3441.0577,8,2015,2025,au_trend_wm_max_recent_v2
SGN,SYD,178236.57,3427.6264,8,2015,2025,au_trend_wm_max_recent_v2
ZQN,SYD,176917.32,3402.2562,8,2015,2025,au_trend_wm_max_recent_v2
PER,ZNE,173745.0,3341.25,8,2015,2025,au_trend_wm_max_recent_v2
ZNE,PER,173745.0,3341.25,8,2015,2025,au_trend_wm_max_recent_v2
CFS,SYD,173320.44,3333.0854,8,2015,2025,au_trend_wm_max_recent_v2
SYD,CFS,173320.44,3333.0854,8,2015,2025,au_trend_wm_max_recent_v2
SYD,SGN,173258.9,3331.9018,8,2015,2025,au_trend_wm_max_recent_v2
SYD,DOH,172435.9,3316.0749,7,2016,2025,au_trend_wm_max_recent_v2
SYD,ZQN,172062.0,3308.8846,8,2015,2025,au_trend_wm_max_recent_v2
OOL,AKL,169627.0,3262.0577,8,2015,2025,au_trend_wm_max_recent_v2
KGI,PER,165968.83,3191.7083,8,2015,2025,au_trend_wm_max_recent_v2
PER,KGI,165968.83,3191.7083,8,2015,2025,au_trend_wm_max_recent_v2
AKL,OOL,165189.0,3176.7115,8,2015,2025,au_trend_wm_max_recent_v2
SYD,SFO,165055.38,3174.1419,8,2015,2025,au_trend_wm_max_recent_v2
SYD,WLG,164446.91,3162.4407,8,2015,2025,au_trend_wm_max_recent_v2
BME,PER,164402.0,3161.5769,8,2015,2025,au_trend_wm_max_recent_v2
PER,BME,164402.0,3161.5769,8,2015,2025,au_trend_wm_max_recent_v2
SFO,SYD,162724.68,3129.3208,8,2015,2025,au_trend_wm_max_recent_v2
SYD,PEK,161802.6,3111.5885,8,2015,2025,au_trend_wm_max_recent_v2
WLG,SYD,161358.8,3103.0538,8,2015,2025,au_trend_wm_max_recent_v2
PVG,MEL,160532.68,3087.1669,8,2015,2025,au_trend_wm_max_recent_v2
DRW,SYD,158457.0,3047.25,6,2015,2023,au_trend_wm_max_recent_v2
